Trace_Name,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,Avg_Congested_Cycle
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_4800.txt,0.193879,20700644,106771069,4814393,3354457,1459936,1579245,578974,1000271,1118918,115571,1003347,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_4800.txt,0.317401,29478987,92876015,7051070,5324704,1726366,2555238,1252710,1302528,2456559,1124333,1332226,703845,703845,268629,152355,4
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_300.txt,0.424807,52596276,123812270,7373538,6373008,1000530,1000972,671,1000301,1257279,178195,1079084,854172,853894,172970,77638,92
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_4800.txt,0.345638,29478984,85288542,7089153,5362749,1726404,2555343,1252820,1302523,2208459,1179455,1029004,500100,499852,141777,71370,4
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_256_9600.txt,0.343489,98033976,285406775,23885378,21021209,2864169,3801226,2735962,1065264,1560046,248981,1311065,114847,114847,3640,98976,1
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_1024_9600.txt,0.2078,20700644,99618076,4760870,3300928,1459942,1579251,578974,1000277,1118924,365448,753476,0,0,0,0,1
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_9600.txt,0.302203,54612142,180713421,18743224,17399744,1343480,1914953,751994,1162959,1761037,615359,1145678,137968,137849,30145,59494,1
cc-5.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_2400.txt,0.411224,20700647,50339110,4708096,3248150,1459946,1579255,578973,1000282,1385298,1183735,201563,268163,268163,101141,14613,9
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_9600.txt,0.357607,29478987,82433991,7085930,5359485,1726445,2555408,1252896,1302512,2446462,1369250,1077212,703104,703104,219529,106783,1
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_2400.txt,0.329627,20700647,62800290,4669266,3209327,1459939,1579248,578968,1000280,1118927,942410,176517,0,0,0,0,8
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_1024_300.txt,0.462614,84756213,183211494,10701242,9430991,1270251,1390832,293179,1097653,1206363,131971,1074392,0,0,0,0,84
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_300.txt,0.233102,54612142,234283917,18664781,17321310,1343471,1914727,751778,1162949,1751765,147722,1604043,137999,137880,21683,63880,94
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_1200.txt,0.452365,98033976,216714272,23889502,21025331,2864171,3801229,2735795,1065434,1960690,1708743,251947,556227,555792,46640,26478,13
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_512_4800.txt,0.559657,52596276,93979409,7275964,6275433,1000531,1000973,671,1000302,1000729,221,1000508,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_1024_9600.txt,0.274582,29478984,107359507,7058436,5331985,1726451,2555428,1252909,1302519,1893641,749572,1144069,0,0,0,0,1
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_256_150.txt,0.226083,52596276,232641533,7400313,6399783,1000530,1000972,671,1000301,1266154,189369,1076785,666742,666742,188055,75756,184
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_600.txt,0.203122,29478984,145129472,6994882,5268630,1726252,2555101,1252608,1302493,2168169,327895,1840274,499851,499581,147609,98494,46
